frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
269;1;1;1;6065.358535;6065.461673;6065.494522;805419;0;0;27072;27072;21;21;27072;27160;100.000;0.827;0.827;6.518;7.152;6.518;32.846;0.012;0.014;32.912;0.064;32.848;0.043;99.806;103.138;34.608;0.896;0.873;0;0;0;0;0;0;0;0
270;1;1;1;6065.392339;6065.494585;6065.529332;804474;0;0;27824;27824;22;22;27824;27912;100.000;0.803;0.803;6.699;7.364;6.699;34.730;0.013;0.015;34.811;0.063;34.748;0.042;99.819;102.246;36.085;0.422;0.845;0;0;0;0;0;0;0;0
271;1;1;1;6065.425365;6065.529418;6065.561705;796101;0;0;135360;135360;103;103;135360;135448;100.000;4.196;4.195;32.508;35.700;32.508;32.284;0.055;0.058;32.372;0.086;32.286;0.181;99.734;104.054;35.124;1.500;0.886;0;0;0;0;0;0;0;0
272;1;1;1;6065.458881;6065.561765;6065.596227;805073;0;0;28012;28012;22;22;28012;28100;100.000;0.815;0.815;6.744;7.409;6.744;34.459;0.010;0.011;34.522;0.060;34.462;0.031;99.825;102.884;36.313;0.987;0.892;0;0;0;0;0;0;0;0
273;1;1;1;6065.492346;6065.596317;6065.628642;797204;0;0;23688;23688;18;18;23688;23776;100.000;0.736;0.736;5.706;6.247;5.706;32.323;0.013;0.015;32.415;0.090;32.325;0.046;99.722;103.971;35.395;1.219;0.913;0;0;0;0;0;0;0;0
274;1;1;1;6065.525911;6065.628680;6065.662348;805139;0;0;22748;22748;18;18;22748;22836;100.000;0.678;0.678;5.481;6.021;5.481;33.665;0.012;0.013;33.706;0.038;33.668;0.040;99.886;102.769;35.768;0.970;0.916;0;0;0;0;0;0;0;0
275;1;1;1;6065.558895;6065.662397;6065.696641;808073;0;0;25944;25944;20;20;25944;26032;100.000;0.760;0.760;6.248;6.851;6.248;34.240;0.013;0.014;34.292;0.049;34.244;0.042;99.858;103.502;36.727;0.383;0.883;0;0;0;0;0;0;0;0
276;1;1;1;6065.592142;6065.696686;6065.733383;813584;0;0;26132;26132;20;20;26132;26220;100.000;0.715;0.715;6.293;6.896;6.293;36.693;0.009;0.010;36.742;0.046;36.696;0.028;99.876;104.545;40.136;0.956;0.888;0;0;0;0;0;0;0;0
277;1;1;1;6065.625472;6065.733483;6065.733499;812306;0;0;28952;28952;22;22;28952;29040;100.000;7951.039;1762.954;6.970;7.635;6.970;0.012;0.012;0.013;0.116;0.100;0.016;81.781;14.146;108.011;6.919;3.463;1.048;0;0;0;0;0;0;0;0
278;1;1;1;6065.659091;6065.763432;6065.799415;817500;0;0;29140;29140;23;23;29140;29228;100.000;0.812;0.812;7.015;7.711;7.015;35.916;0.018;0.021;65.916;29.933;35.984;0.058;54.590;104.341;39.502;3.384;1.194;0;0;0;0;0;0;0;0
279;1;1;1;6065.692246;6065.799516;6065.829938;824803;0;0;30268;30268;23;23;30268;30356;100.000;0.998;0.998;7.285;7.982;7.285;30.418;0.018;0.020;30.523;0.100;30.422;0.066;99.671;107.270;36.691;2.751;1.292;0;0;0;0;0;0;0;0
280;1;1;1;6065.726028;6065.829992;6065.865444;813944;0;0;29892;29892;23;23;29892;29980;100.000;0.846;0.846;7.195;7.892;7.195;35.447;0.012;0.014;35.505;0.054;35.451;0.039;99.847;103.964;38.863;2.857;1.390;0;0;0;0;0;0;0;0
281;1;1;1;6065.759647;6065.865544;6065.865561;815307;0;0;30268;30268;23;23;30268;30356;100.000;9818.341;1828.286;7.285;7.982;7.285;0.013;0.013;0.014;0.117;0.100;0.017;83.005;14.196;105.897;5.647;2.218;1.441;0;0;0;0;0;0;0;0
282;1;1;1;6065.792674;6065.897046;6065.932205;816329;0;0;27448;27448;21;21;27448;27536;100.000;0.783;0.783;6.609;7.243;6.609;35.125;0.015;0.016;66.645;31.485;35.160;0.046;52.757;104.372;38.958;1.832;1.466;0;0;0;0;0;0;0;0
283;1;1;1;6065.826232;6065.932292;6065.932311;813249;0;0;27636;27636;21;21;27636;27724;100.000;6641.883;1419.859;6.654;7.288;6.654;0.013;0.013;0.015;0.106;0.086;0.020;77.550;18.481;106.059;5.731;1.913;1.494;0;0;0;0;0;0;0;0
284;1;1;1;6065.859088;6065.963791;6065.999948;809333;0;0;28012;28012;22;22;28012;28100;100.000;0.777;0.777;6.744;7.409;6.744;36.150;0.016;0.019;67.637;31.480;36.157;0.053;53.457;104.703;40.035;1.834;1.515;0;0;0;0;0;0;0;0
285;1;1;1;6065.893053;6066.000005;6066.030260;815482;0;0;28764;28764;22;22;28764;28852;100.000;0.954;0.954;6.924;7.590;6.924;30.251;0.019;0.022;30.312;0.057;30.255;0.072;99.813;106.952;37.013;2.880;1.600;0;0;0;0;0;0;0;0
286;1;1;1;6065.925856;6066.030412;6066.065664;814633;0;0;136488;136488;104;104;136488;136576;100.000;3.875;3.874;32.778;36.002;32.778;35.251;0.053;0.057;35.404;0.151;35.253;0.162;99.572;104.555;39.084;2.926;1.683;0;0;0;0;0;0;0;0
287;1;1;1;6065.959713;6066.065752;6066.065775;814941;0;0;28952;28952;22;22;28952;29040;100.000;7461.911;1278.434;6.970;7.635;6.970;0.018;0.018;0.019;0.110;0.088;0.023;84.828;20.583;106.039;5.861;2.007;1.703;0;0;0;0;0;0;0;0
288;1;1;1;6065.992636;6066.097620;6066.131317;818847;0;0;23124;23124;18;18;23124;23212;100.000;0.689;0.689;5.571;6.111;5.571;33.664;0.014;0.016;65.542;31.846;33.697;0.046;51.412;104.985;38.070;1.465;1.688;0;0;0;0;0;0;0;0
289;1;1;1;6066.026266;6066.131407;6066.131421;824052;0;0;21056;21056;16;16;21056;21144;100.000;8743.566;1555.513;5.075;5.553;5.075;0.011;0.011;0.011;0.104;0.090;0.014;83.391;13.099;105.141;4.840;0.453;1.611;0;0;0;0;0;0;0;0
290;1;1;1;6066.059706;6066.165203;6066.198895;835458;0;0;25568;25568;20;20;25568;25656;100.000;0.762;0.761;6.157;6.760;6.157;33.688;0.012;0.013;67.474;33.782;33.692;0.040;49.933;105.497;38.981;0.462;1.539;0;0;0;0;0;0;0;0
291;1;1;1;6066.092964;6066.199000;6066.230983;819605;0;0;26508;26508;21;21;26508;26596;100.000;0.832;0.832;6.383;7.017;6.383;31.978;0.017;0.018;32.088;0.105;31.983;0.057;99.673;106.035;37.736;0.463;1.472;0;0;0;0;0;0;0;0
292;1;1;1;6066.126104;6066.231048;6066.264369;827799;0;0;26508;26508;21;21;26508;26596;100.000;0.798;0.798;6.383;7.017;6.383;33.318;0.015;0.016;33.386;0.066;33.320;0.048;99.803;104.944;37.788;1.285;1.460;0;0;0;0;0;0;0;0
293;1;1;1;6066.159903;6066.264456;6066.296687;830771;0;0;28388;28388;22;22;28388;28476;100.000;0.884;0.884;6.834;7.500;6.834;32.229;0.014;0.015;32.318;0.087;32.231;0.048;99.730;104.553;36.773;0.074;1.374;0;0;0;0;0;0;0;0
294;1;1;1;6066.192681;6066.296796;6066.332215;835004;0;0;29704;29704;23;23;29704;29792;100.000;0.841;0.841;7.150;7.847;7.150;35.416;0.016;0.018;35.528;0.110;35.418;0.051;99.691;104.116;38.968;0.993;1.350;0;0;0;0;0;0;0;0
295;1;1;1;6066.226375;6066.332312;6066.362783;814967;0;0;29328;29328;23;23;29328;29416;100.000;0.966;0.965;7.060;7.756;7.060;30.465;0.020;0.022;30.568;0.098;30.470;0.072;99.680;105.938;36.202;2.183;1.402;0;0;0;0;0;0;0;0
296;1;1;1;6066.259226;6066.362840;6066.396391;818656;0;0;29140;29140;23;23;29140;29228;100.000;0.872;0.871;7.015;7.711;7.015;33.549;0.010;0.011;33.608;0.057;33.551;0.032;99.831;103.613;36.477;2.806;1.490;0;0;0;0;0;0;0;0
297;1;1;1;6066.292606;6066.396474;6066.478884;819807;0;0;28200;28200;22;22;28200;28288;100.000;0.343;0.343;6.789;7.454;6.789;82.407;0.016;0.017;82.493;0.084;82.410;0.021;99.899;103.868;85.637;0.301;1.416;0;0;0;0;0;0;0;0
298;1;1;1;6066.325961;6066.478881;6066.478890;814766;0;0;27636;27636;21;21;27636;27724;100.000;6879.404;3233.230;6.654;7.288;6.654;0.004;0.004;0.005;0.006;0.000;0.009;57.261;144.013;152.920;52.309;49.074;4.394;0;0;0;0;0;0;0;0
299;1;1;1;6066.359317;6066.478885;6066.478937;809259;0;0;28576;28576;22;22;28576;28664;100.000;654.192;550.564;6.879;7.545;6.879;0.008;0.008;0.009;0.048;0.000;0.052;17.019;109.465;119.568;19.024;33.329;6.203;0;0;0;0;0;0;0;0
300;1;1;1;6066.392070;6066.478929;6066.502942;812212;0;0;29140;29140;23;23;29140;29228;100.000;1.217;1.217;7.015;7.711;7.015;23.060;0.009;0.010;24.005;0.000;24.013;0.042;100.034;86.859;9.695;33.289;7.896;0;0;0;0;0;0;0;0
