frame_id;status;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;clock_offset_ms;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;network_bitrate_mbps;conversion_ms;projection_ms;tx_duration_ms;active_process_ms;total_processing_ms;total_residency_ms;node_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_to_node_latency_ms;end_to_end_latency_ms;schedule_delay_ms;network_jitter_ms;wait_raw_queue_ms;wait_render_queue_ms;encode_h265_ms;mpeg_bytes_generated;tx_retries;mbuf_starvation
172;1;1;Idle;0.000;0.000;1.000;29621.606418;29621.606902;29621.643568;0.465;788905;788905;788905;9862;21;12622520;100.00;825.743;3029.405;7.652;15.409;5.951;29.012;29.012;36.666;79.125;9.233;1.601;0.736;1.410;2.429;0.019;36.685;15014.030;86.110;0.002;0.018;231.692;26508;0;0
173;1;1;Idle;0.000;0.000;1.000;29621.715539;29621.716016;29621.759197;0.465;787376;787376;787376;9843;21;12598056;100.00;830.898;3023.533;7.672;15.549;12.451;35.672;35.672;43.181;82.610;9.401;1.593;0.728;1.403;2.425;0.012;43.193;15096.326;75.781;0.002;0.017;240.153;27260;0;0
174;1;1;Idle;0.000;0.000;1.000;29621.821395;29621.821880;29621.866810;0.465;791921;791921;791921;9900;23;12670776;100.00;826.816;3040.986;7.730;15.748;13.837;37.315;37.315;44.930;83.053;9.572;1.603;0.739;1.402;2.432;0.020;44.950;15170.605;72.531;0.002;0.018;291.555;28764;0;0
175;1;1;Idle;0.000;0.000;1.000;29621.947481;29621.947972;29621.984484;0.465;785044;785044;785044;9814;22;12560744;100.00;825.928;3014.579;7.619;15.288;5.993;28.900;28.900;36.512;79.152;9.158;1.591;0.734;1.390;2.415;0.026;36.538;15254.946;92.758;0.002;0.021;283.389;28388;0;0
176;1;1;Idle;0.000;0.000;1.000;29622.098362;29622.098917;29622.142085;0.465;785759;785759;785759;9822;22;12572184;100.00;829.066;3017.324;7.655;15.469;12.515;35.639;35.639;43.167;82.559;9.332;1.589;0.735;1.406;2.407;0.091;43.258;15379.213;117.612;0.002;0.017;216.466;28012;0;0
177;1;1;Idle;0.000;0.000;1.000;29622.214264;29622.214750;29622.259442;0.465;782963;782963;782963;9788;23;12527448;100.00;824.171;3006.588;7.592;15.607;13.865;37.064;37.064;44.692;82.932;9.485;1.589;0.736;1.393;2.403;0.021;44.713;15463.237;82.499;0.002;0.018;254.853;29140;0;0
178;1;1;Idle;0.000;0.000;1.000;29622.306550;29622.307034;29622.343596;0.465;783666;783666;783666;9796;21;12538696;100.00;824.646;3009.287;7.594;15.300;6.037;28.931;28.931;36.562;79.127;9.188;1.585;0.732;1.390;2.404;0.019;36.581;15514.058;58.951;0.002;0.018;295.188;27448;0;0
179;1;1;Idle;0.000;0.000;1.000;29622.454472;29622.454972;29622.497976;0.465;786714;786714;786714;9834;22;12587464;100.00;821.486;3020.991;7.645;15.531;12.130;35.306;35.306;43.004;82.098;9.370;1.593;0.733;1.404;2.430;0.035;43.039;15635.105;114.604;0.002;0.018;255.969;28012;0;0
180;1;1;Idle;0.000;0.000;1.000;29622.584976;29622.585465;29622.630305;0.465;787583;787583;787583;9845;21;12601368;100.00;824.308;3024.328;7.680;15.681;13.852;37.213;37.213;44.840;82.991;9.482;1.594;0.733;1.406;2.466;0.024;44.864;15734.100;97.160;0.002;0.017;264.454;26884;0;0
181;1;1;Idle;0.000;0.000;1.000;29622.701797;29622.702273;29622.739198;0.465;793719;793719;793719;9922;104;12699544;100.00;823.291;3047.891;7.724;15.517;5.962;29.203;29.203;36.925;79.089;9.330;1.606;0.733;1.408;2.439;0.012;36.936;15809.660;83.475;0.002;0.018;251.507;136112;0;0
182;1;1;Idle;0.000;0.000;1.000;29622.811438;29622.811923;29622.878442;0.465;792329;792329;792329;9905;21;12677304;100.00;819.941;3042.553;7.672;15.618;35.420;58.710;58.710;66.519;88.261;9.432;1.603;0.736;1.403;2.443;0.021;66.540;15915.571;76.316;0.001;0.018;252.394;27072;0;0
183;1;1;Idle;0.000;0.000;1.000;29622.936426;29622.936915;29622.982259;0.465;801464;801464;801464;10019;18;12823464;100.00;822.224;3077.631;7.784;15.876;13.852;37.512;37.512;45.344;82.728;9.651;1.619;0.735;1.404;2.467;0.024;45.369;15986.055;91.659;0.002;0.018;261.832;22184;0;0
184;1;1;Idle;0.000;0.000;1.000;29623.055526;29623.056011;29623.093015;0.465;796948;796948;796948;9962;18;12751208;100.00;822.375;3060.290;7.745;15.590;5.888;29.223;29.223;37.003;78.973;9.388;1.611;0.736;1.403;2.452;0.020;37.023;16063.477;85.763;0.002;0.018;240.864;22748;0;0
185;1;1;Idle;0.000;0.000;1.000;29623.183338;29623.183823;29623.227770;0.465;802598;802598;802598;10033;21;12841608;100.00;826.877;3081.986;7.826;15.848;12.542;36.216;36.216;43.948;82.408;9.609;1.629;0.731;1.393;2.485;0.020;43.968;16164.899;94.478;0.002;0.025;243.029;26884;0;0
186;1;1;Idle;0.000;0.000;1.000;29623.279805;29623.280286;29623.325501;0.465;797039;797039;797039;9963;23;12752664;100.00;819.464;3060.639;7.776;15.865;13.768;37.408;37.408;45.215;82.734;9.678;1.617;0.733;1.390;2.447;0.016;45.231;16229.297;63.130;0.002;0.018;279.162;28576;0;0
187;1;1;Idle;0.000;0.000;1.000;29623.418100;29623.418574;29623.455839;0.465;797511;797511;797511;9969;22;12760216;100.00;823.552;3062.452;7.740;15.639;6.111;29.491;29.491;37.265;79.139;9.441;1.609;0.730;1.405;2.454;0.009;37.274;16326.302;104.955;0.002;0.017;261.219;28764;0;0
188;1;1;Idle;0.000;0.000;1.000;29623.544296;29623.544783;29623.588443;0.465;794879;794879;794879;9936;21;12718104;100.00;821.763;3052.345;7.731;15.637;12.525;35.893;35.893;43.660;82.211;9.441;1.609;0.731;1.404;2.452;0.022;43.682;16425.571;92.875;0.002;0.018;273.765;27260;0;0
189;1;1;Idle;0.000;0.000;1.000;29623.663255;29623.663752;29623.708479;0.465;793590;793590;793590;9920;22;12697480;100.00;821.636;3047.395;7.705;15.734;13.519;36.958;36.958;44.727;82.630;9.559;1.604;0.735;1.401;2.435;0.032;44.759;16512.275;85.636;0.002;0.018;299.529;27824;0;0
190;1;1;Idle;0.000;0.000;1.000;29623.809944;29623.810433;29623.847171;0.465;788938;788938;788938;9862;22;12623048;100.00;820.979;3029.532;7.641;15.443;5.900;28.984;28.984;36.738;78.894;9.286;1.600;0.733;1.389;2.435;0.024;36.762;16617.633;113.348;0.002;0.018;281.325;28388;0;0
191;1;1;Idle;0.000;0.000;1.000;29623.948142;29623.948630;29623.991995;0.465;784846;784846;784846;9811;21;12557576;100.00;821.136;3013.818;7.587;15.462;12.586;35.635;35.635;43.365;82.175;9.320;1.603;0.732;1.400;2.407;0.023;43.388;16729.123;104.864;0.002;0.022;257.765;27636;0;0
192;1;1;Idle;0.000;0.000;1.000;29624.074885;29624.075373;29624.120122;0.465;788004;788004;788004;9851;22;12608104;100.00;821.851;3025.945;7.657;15.671;13.717;37.045;37.045;44.749;82.784;9.508;1.597;0.730;1.405;2.430;0.023;44.772;16823.917;93.410;0.002;0.018;233.438;27824;0;0
193;1;1;Idle;0.000;0.000;1.000;29624.197211;29624.197692;29624.234785;0.465;795964;795964;795964;9950;21;12735464;100.00;821.266;3056.511;7.738;15.633;5.934;29.305;29.305;37.094;79.001;9.459;1.605;0.734;1.388;2.448;0.016;37.109;16905.248;88.985;0.002;0.017;325.054;27072;0;0
