frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
249;1;1;0.000000;-0.523599;1.000000;3279.742700;3279.996056;3280.005209;816251;171072;162833;151824;151824;1898;2429184;100.000;265.426;583.017;625.823;20.958;95.184;18.600;0.000;0.000;1.394;9.153;15.224;253.356;262.509;262.508;22.191;11.712;5.321;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
250;1;1;0.000000;-0.523599;1.000000;3279.777465;3280.030688;3280.032496;820584;171739;164248;153370;153370;1918;2453920;100.000;1358.021;588.953;632.211;20.929;95.638;18.690;0.000;77.741;1.332;1.809;73.664;253.222;255.031;255.029;23.490;1.298;5.070;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
251;1;1;0.000000;-0.610865;1.000000;3279.809153;3280.048705;3280.051563;817535;171136;163593;153480;153480;1919;2455680;100.000;859.466;589.376;632.656;20.933;95.592;18.774;0.000;0.000;1.348;2.859;47.172;239.552;242.410;242.409;8.173;15.316;5.710;45;0.031;46.385;201.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
252;1;1;0.000000;-0.610865;1.000000;3279.842483;3280.079367;3280.095286;812707;169197;161988;152446;152446;1906;2439136;100.000;153.256;585.405;628.392;20.819;95.739;18.758;0.001;110.778;4.439;15.919;27.886;236.884;252.803;252.800;5.503;2.671;5.520;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
253;1;1;0.000000;-0.610865;1.000000;3279.875913;3280.124179;3280.125769;811017;166754;159517;150768;150768;1885;2412288;100.000;1518.791;578.962;621.475;20.561;95.660;18.590;0.001;0.000;1.162;1.590;73.081;248.267;249.857;249.855;16.981;11.479;5.892;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
254;1;1;0.000000;-0.610865;1.000000;3279.911273;3280.155260;3280.161143;812416;163790;157399;148606;148606;1858;2377696;100.000;404.223;570.660;612.564;20.161;96.098;18.292;0.000;0.000;1.346;5.883;22.886;243.987;249.870;249.869;14.729;2.253;5.665;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
255;1;1;0.000000;-0.610865;1.000000;3279.942722;3280.179605;3280.180710;815874;161885;155217;147150;147150;1840;2354400;100.000;2133.388;565.068;606.566;19.842;95.881;18.036;0.000;94.764;0.795;1.105;71.955;236.883;237.988;237.987;5.741;8.988;5.873;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
256;1;1;0.000000;-0.698132;1.000000;3279.975644;3280.217414;3280.227703;811813;184042;159743;146080;146080;1826;2337280;100.000;227.194;560.960;602.142;22.670;86.797;17.994;0.001;0.000;1.578;10.289;15.335;241.770;252.059;252.058;10.216;4.475;5.785;46;3.045;50.038;211.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
257;1;1;0.000000;-0.698132;1.000000;3280.009285;3280.262333;3280.267568;809323;172745;158263;145366;145366;1818;2325856;100.000;444.333;558.218;599.220;21.344;91.617;17.961;0.000;120.511;4.831;5.235;92.270;253.048;258.283;258.283;21.802;11.586;6.148;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
258;1;1;0.000000;-0.698132;1.000000;3280.044454;3280.283885;3280.290078;806066;169605;156663;145058;145058;1814;2320928;100.000;374.831;557.035;597.947;21.041;92.369;17.996;0.000;0.000;3.016;6.193;48.695;239.431;245.624;245.623;10.020;11.781;6.500;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
259;1;1;0.000000;-0.698132;1.000000;3280.075965;3280.318421;3280.326565;803994;167722;156190;144584;144584;1808;2313344;100.000;284.102;555.215;595.991;20.861;93.124;17.983;0.000;0.000;3.275;8.143;40.212;242.456;250.600;250.599;11.223;1.203;6.169;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
260;1;1;0.000000;-0.785398;1.000000;3280.108976;3280.346549;3280.348673;804675;166336;155825;144650;144650;1809;2314400;100.000;1090.134;555.468;596.267;20.671;93.681;17.976;0.000;0.000;1.587;2.125;74.682;237.573;239.698;239.696;6.017;5.206;6.109;47;0.722;22.830;159.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
261;1;1;0.000000;-0.785398;1.000000;3280.142755;3280.387093;3280.389570;803023;164908;155379;143952;143952;1800;2303232;100.000;930.051;552.788;593.384;20.536;94.222;17.926;0.000;78.739;2.029;2.477;81.913;244.338;246.815;246.814;13.228;7.211;6.178;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
262;1;1;0.000000;-0.785398;1.000000;3280.177957;3280.419874;3280.424699;804900;165223;156538;144058;144058;1801;2304928;100.000;477.860;553.195;593.813;20.527;94.743;17.898;0.000;0.000;4.327;4.824;89.697;241.918;246.742;246.741;12.676;0.552;5.826;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
